Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Cosmos beauty,салон красоты,Парикмахерские; Визажисты; Оформление бровей и ресниц; Ногтевые студии; Перманентный макияж; Косметолог,"Сарыарка микрорайон, 39",,,Сарыарка м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.8,110,87023474736,,,,http://cosmos-beauty.2gis.biz/,,https://instagram.com/cosmosbeauty06,,https://wa.me/77023474736,,,,,,,47.108588,51.90639,https://2gis.com/firm/70000001079115396,branch
Crystal SPA,,SPA-процедуры; Бани / Сауны; Массажист; Караоке-залы,"Бактыгерея Кулманова улица, 117/2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,4.5,7,87018088715,,,,,,https://instagram.com/crystalspa_atyrau,,https://wa.me/77018088715,,,,,,,47.106885,51.896474,https://2gis.com/firm/70000001083677206,branch
The Team Dinara Danesh,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Визажисты; Массажист,"микрорайон Авангард-3, 37",,,Авангард-3 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,26,87010815010,87755024484,,inkara-t@mail.ru,,,https://instagram.com/beautystudiodinaradanesh,,https://wa.me/77010815010,https://wa.me/77755024484,,,https://t.me/+77755024484,,,47.092777,51.882843,https://2gis.com/firm/70000001064465016,branch
Begim-Ai,салон красоты,Парикмахерские; Ногтевые студии; Эпиляция; Оформление бровей и ресниц; Визажисты; Массажист,"улица Шокан Уалиханов, 23а",1 этаж,,Ак Депо м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,92,87003303939,,,,http://dikidi.ru/1068162,,https://instagram.com/begimai_beauty_bar,,https://wa.me/77003303939,,,,,,,47.108749,51.936387,https://2gis.com/firm/70000001066629500,branch
Z-clinic,медицинский центр,Косметолог; Альтернативная медицина; Гинеколог; Гирудотерапевт,"микрорайон Привокзальный-5, 8",,,Привокзальный-5 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00; Вс: 09:00-13:00, 14:00-18:00",+05:00,4.9,54,87028028514,,,,,,https://instagram.com/zeinep_clinic,,https://wa.me/77028028514,,,,,,,47.127599,51.940856,https://2gis.com/firm/70000001053127721,branch
Marcia,салон эстетической косметологии,Косметолог,"микрорайон Авангард-3, 38",,,Авангард-3 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,17,87759904787,,,,,,https://instagram.com/marcia.atyrau,,https://wa.me/77759904787,,,,,,,47.091773,51.882351,https://2gis.com/firm/70000001094124604,branch
Eva,комплексный центр для расслабления,SPA-процедуры; Массажист,"микрорайон Нурсая, 76",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.9,106,87475018348,,,,,,https://instagram.com/eva_massage_atyrau,,https://wa.me/77475018348,,,,,,,47.117217,51.853766,https://2gis.com/firm/70000001060263798,branch
ArtCraft,барбершоп,Барбершопы,"проспект Исатая Тайманова, 48 блок 2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,62,87783853037,,,,http://n238994.alteg.io/,,https://instagram.com/artcraft_barbershop,,https://wa.me/77783853037,,,,,,,47.108823,51.905744,https://2gis.com/firm/70000001088459247,branch
Merci beauty salon,салон красоты,Ногтевые студии; Парикмахерские; Визажисты; Оформление бровей и ресниц,"улица Абая, 14а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,83,87783596467,,,,,,https://instagram.com/merci.beautyy,,https://wa.me/77783596467,,,,,,,47.105271,51.929582,https://2gis.com/firm/70000001059070837,branch
Mona beauty home,салон красоты,Визажисты; Ногтевые студии; Парикмахерские; Эпиляция; Оформление бровей и ресниц,"улица Таумуш Жумагалиев, 10 блок 9",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,37,87787886685,,,,,,https://instagram.com/mona.beautyhome,,https://wa.me/77787886685,,,,,,,47.109254,51.86661,https://2gis.com/firm/70000001088192318,branch
Loot ,барбершоп,Барбершопы,"улица Абая, 26/1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.9,34,87780661155,,,,,,https://instagram.com/loot.barbershop,,https://wa.me/77780661155,,,,,,,47.104559,51.934139,https://2gis.com/firm/70000001089264371,branch
Orka Lash,студия наращивания ресниц,Оформление бровей и ресниц,"микрорайон Алмагуль, 17",,,Алмагул м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,4.7,13,87750909707,,,,http://zapis.kz/orka-lash-studio,,https://instagram.com/orka_lash_studio,,https://wa.me/77750909707,,,,,,,47.118914,51.944561,https://2gis.com/firm/70000001095354812,branch
Dillor Beauty Studio ,,Ногтевые студии; Парикмахерские; Визажисты,"улица Сырым Датова, 35Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,69,87751944870,,,,,,https://instagram.com/dillor_beauty,,https://wa.me/77751944870,,,,,,,47.102466,51.936692,https://2gis.com/firm/70000001090515126,branch
Wild West barbershop,,Барбершопы,"улица Шокан Уалиханов, 5",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,352,87022464732,,,,http://n1091426.alteg.io/company/1038299/personal/menu?o=,,https://instagram.com/wildwest.barbershop,,https://wa.me/77022464732,,,,,,,47.108782,51.924639,https://2gis.com/firm/70000001078699112,branch
SOBO Spa & Wellness,,SPA-процедуры; Массажист; Бани / Сауны,"проспект Абулхайр-хана, 63 блок 4",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-23:45; Вт: 10:00-23:45; Ср: 10:00-23:45; Чт: 10:00-23:45; Пт: 10:00-23:45; Сб: 10:00-23:45; Вс: 10:00-23:45,+05:00,4.9,53,87020002816,,,,,,https://instagram.com/sobo.spa.atyrau,,https://wa.me/77020002816,,,,,,,47.107997,51.863101,https://2gis.com/firm/70000001089777619,branch
Verdant,медицинский лазерный центр,Косметолог; Пластическая хирургия; Дерматолог,"Махамбета Утемисова улица, 37",3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,19,87024555050,,,,,,https://instagram.com/verdantatyrau,,https://wa.me/77024555050,,,,,,,47.119832,51.927869,https://2gis.com/firm/70000001084442268,branch
Nomad,сауна,SPA-процедуры; Бани / Сауны,"20-я улица, 12а",,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,9,87755191044,,,,,,https://instagram.com/nomad_spa_atyrau,,https://wa.me/77755191044,,,,,,,47.116226,51.881049,https://2gis.com/firm/70000001093613183,branch
Arnau,СПА-комплекс,SPA-процедуры; Бани / Сауны; Бассейны; Массажист,"Северная промышленная зона, 16/1",,,Атырау-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (сауна: пн-вс 10:00-2:00),+05:00,4.7,35,87715400505,,,,,,https://instagram.com/arnau_complex_atyrau,,https://wa.me/77715400505,,,,,,,47.146352,51.891145,https://2gis.com/firm/70000001081335023,branch
Clyde Barbershop,барбершоп,Барбершопы,"улица Жолдаскали Досмухамбетов, 15а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.8,26,87008881315,,,,,,https://instagram.com/clyde.barbershop,,https://wa.me/77008881315,,,,,,,47.100393,51.924919,https://2gis.com/firm/70000001094187394,branch
Примавера,студия красоты,Ногтевые студии; Парикмахерские; Косметолог; Услуги пирсинга; Подолог,"проспект Каныша Сатпаева, 2в",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,87122213459,87016440861 (кабинет косметолога),87018688877 (парикмахер),,,,https://instagram.com/studio_primavera,,https://wa.me/77016440861,https://wa.me/77018688877,,,,,,47.102859,51.89145,https://2gis.com/firm/70000001034672919,branch
Halal beauty Atyrau,салон красоты,Оформление бровей и ресниц; Косметолог; SPA-процедуры; Визажисты; Ногтевые студии; Парикмахерские; Массажист,"улица Сырым Датова, 89",,,Ак Депо м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,231,87022540470,,,,,,https://instagram.com/halal.beauty.atyrau,,https://wa.me/77022540470,,,,,,,47.107067,51.948445,https://2gis.com/firm/70000001086896817,branch
Kaspi VIP Sauna,,SPA-процедуры; Бани / Сауны; Массажист; Караоке-залы,"улица Толе би, 18Б",,,Геолог м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,29,87780810963 (круглосуточный),,,,http://kaspi-vip-sauna.kamiqr.com/menu/basic?utm_media=qr,,https://instagram.com/caspi_waterpark,,https://wa.me/77780810963,,,,,,,47.146503,51.950487,https://2gis.com/firm/70000001087706549,branch
Otoko ,барбершоп,Барбершопы; Парикмахерские,"проспект Каныша Сатпаева, 43а",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,134,,,,,,,https://instagram.com/otoko_barbershop_atyrau,,https://wa.me/77089691030,,,,,,,47.105655,51.881988,https://2gis.com/firm/70000001088764989,branch
Beautycentre,центр эстетической медицины,Косметолог,"улица Адмирал Лев Владимирский, 2а",,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,5.0,12,87014366472,87760997778,,,,,https://instagram.com/beautycentre_dr.moldasheva,,https://wa.me/77760997778,https://wa.me/77014366472,,,,,,47.10208,51.891528,https://2gis.com/firm/70000001034751303,branch
My Thai SPA,,Парикмахерские; SPA-процедуры; Косметолог; Ногтевые студии; Оформление бровей и ресниц; Фитнес-клубы; Массажист; Бассейны; Тренажёрные залы,"проспект Азаттык, 111а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.1,116,87122763636,87785204248,,,http://www.grandhotel.kz/spa-centr.html,,https://instagram.com/my_thai_spa_atyrau,,https://wa.me/77785204248,,,,,,,47.091171,51.916721,https://2gis.com/firm/70000001034922569,branch
Shaman,барбершоп,Барбершопы,"улица Лазо, 1",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),+05:00,4.6,155,87026667275,,,,http://zapis.kz/shaman,,https://instagram.com/shaman.atyrau,,https://wa.me/77026667275,,,,,,,47.101218,51.928093,https://2gis.com/firm/70000001036112955,branch
Имбирь Thai Spa,,SPA-процедуры; Массажист,"Муса Баймуханова улица, 17Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,78,87010621333,87081118098 (контакт-центр),,,http://imbir.kz,,https://instagram.com/imbir_thai_spa_atyrau,,https://wa.me/77010621333,,,,,,,47.125687,51.930768,https://2gis.com/firm/70000001051579081,branch
Oldboy,барбершоп,Барбершопы,"улица Гурьев, 1",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,607,87018300038,,,,,,https://instagram.com/oldboy_atyrau,,https://wa.me/77018300038,,,,,,,47.102497,51.925363,https://2gis.com/firm/70000001034996845,branch
Relax spa beauty,спа-салон,SPA-процедуры; Массажист,"улица Таумуш Жумагалиев, 15 блок Г",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,46,87057772752,,,,,,https://instagram.com/relax_spa_beauty,,https://wa.me/77057772752,,,,,,,47.110082,51.866293,https://2gis.com/firm/70000001066101018,branch
Egoist,барбершоп,Барбершопы,"улица Сырым Датова, 33",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,338,87787958070,,,,http://b602916.alteg.io/company/569687/personal/menu?referrer=http:%2F%2Flink.2gis.ru%2F&o=,,https://instagram.com/egoist__barbershop,,https://wa.me/77787958070,,,,,,,47.101178,51.935778,https://2gis.com/firm/70000001045645058,branch
Royal Spa & Beauty,,Парикмахерские; SPA-процедуры; Массажист; Бассейны; Бани / Сауны; Ногтевые студии; Тренажёрные залы; Косметолог,"Бактыгерея Кулманова улица, 117",цокольный этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 10:00-22:00,+05:00,4.7,74,87750059899,87122305151,,,,,https://instagram.com/royalspa_atyrau,,https://wa.me/77750059899,,,,,,,47.107265,51.895984,https://2gis.com/firm/70000001053171143,branch
ANTALYA,студия массажа,Эпиляция; Массажист; Оформление бровей и ресниц,"улица Кабдрахман Ерниязов, 13/2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,4.9,331,87786447722,,,,,,https://instagram.com/antalya_massage_atyrau,,https://wa.me/77786447722,,,,https://t.me/+77756043241,,,47.107777,51.896027,https://2gis.com/firm/70000001035339200,branch
Sakura,массажный салон,SPA-процедуры; Массажист,"Георгия Канцева улица, 3",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.8,62,87788779689,,,,,,https://instagram.com/sakura_spa_massage,,https://wa.me/77788779689,,,,,,,47.106096,51.932756,https://2gis.com/firm/70000001077371736,branch
SAQAL BARBERSHOP,,Барбершопы,"микрорайон Центральный, 4",,,Центральный м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-20:00; Вт: 10:00-13:00, 14:00-20:00; Ср: 10:00-13:00, 14:00-20:00; Чт: 10:00-13:00, 14:00-20:00; Пт: 10:00-13:00, 14:00-20:00; Сб: 10:00-13:00, 14:00-20:00; Вс: 10:00-13:00, 14:00-20:00",+05:00,4.9,85,87021270237,,,,http://zapis.kz/barbershop-saqal,,https://instagram.com/saqal.barbershop,,https://wa.me/77021270237,,,,,,,47.10714,51.927307,https://2gis.com/firm/70000001067464233,branch
Arasan Wellness,баня,SPA-процедуры; Бани / Сауны,"улица Сыпыра жырау, 2а",,,Мирас м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.3,24,87025550100,,,,,,,,https://wa.me/77025550100,,,,,,,47.145025,51.963569,https://2gis.com/firm/70000001081175933,branch
Aquamarine,SPA-салон,SPA-процедуры; Массажист,"улица Сырым Датова, 160Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:30-23:00; Вт: 09:30-23:00; Ср: 09:30-23:00; Чт: 09:30-23:00; Пт: 09:30-23:00; Сб: 09:30-23:00; Вс: 09:30-23:00,+05:00,4.8,51,87766519999,,,,,,https://instagram.com/aquamarinespaclub,,https://wa.me/77766519999,,,,,,,47.113878,51.962148,https://2gis.com/firm/70000001035241461,branch
Santai spa,,SPA-процедуры; Массажист; Бани / Сауны; Косметолог,"микрорайон Нурсая, 18а",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,105,87780488084,,,,,,https://instagram.com/santai.atyrau,,https://wa.me/77780488084,https://wa.me/77751956516,,,,,,47.117697,51.864363,https://2gis.com/firm/70000001092501554,branch
