Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Art House,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель; Офисная мебель; Детская мебель; Декоративные отделочные элементы и материалы; Дизайн интерьеров,"улица Сырым Датова, 54",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.6,11,87010383880,87757300188,,,,,,https://instagram.com/arthouse_atyrau,,,https://wa.me/77010383880,https://wa.me/77757300188,,,https://t.me/+77757300188,,47.104454,51.944258,https://2gis.com/firm/70000001034758440,branch
Дом мебели,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для ванных комнат; Офисная мебель,"Георгия Канцева улица, 1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87081667933,87022391330 (директор ),,,,,,https://instagram.com/atyrau_dom_mebel,,,https://wa.me/77081667933,https://wa.me/77022391330,,,,,47.107288,51.935159,https://2gis.com/firm/70000001069905458,branch
Modisal,салон дизайнерской мягкой мебели,Мебель на заказ; Мягкая мебель; Мебельные магазины; Корпусная мебель; Мебель для кухни,"улица Курмангазы, 72а",2 этаж,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,6,87078778077,,,,,,,https://instagram.com/modisal_atyrau,,,https://wa.me/77078778077,,,,,,47.115997,51.886681,https://2gis.com/firm/70000001089207663,branch
Mebel`ный,мебельный салон,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель,"улица Сырым Датова, 64",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.3,5,87021381568,,,,,,,https://instagram.com/mebelnyi_salon_atyrau,,,https://wa.me/77470582417,,,,https://t.me/+77021381568,,47.106553,51.948172,https://2gis.com/firm/70000001087762018,branch
Акенур,мебельный салон,Мебель на заказ; Мягкая мебель; Мебель для кухни; Корпусная мебель; Мебель из стекла; Детская мебель; Матрасы; Мебельные магазины,"улица Сырым Датова, 148",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,2.2,7,87750955550 (единый номер: пн-вс 10:00-19:00),,,,,,,https://instagram.com/akenur_zhihaz_atyrau,,,https://wa.me/77019109798,,,,,,47.112042,51.958328,https://2gis.com/firm/70000001035201224,branch
Делия,магазин кухонной мебели,Мебель на заказ; Мебель для кухни,"улица Сырым Датова, 62",4 бутик; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,6,87754939338,,,,,http://www.deliya.kz,,https://instagram.com/kuhni_deliya_atyrau,https://facebook.com/deliya.atyrau,,https://wa.me/77754939338,,,,,,47.107564,51.949998,https://2gis.com/firm/70000001034989993,branch
Мебель-city,мебельный магазин,Мебель на заказ; Мебель для ванных комнат; Офисная мебель; Мебель для кухни; Мебельные фасады; ЛДСП / ДВПО / МДФ; Стеновые панели; Декоративные отделочные элементы и материалы; Комплектующие для дверей; ДСП / ДВП / Фанера,"улица Сырым Датова, 54",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,5.0,2,87780062478,,,,,,,https://instagram.com/mebel_city_atyrau,,,https://wa.me/77780062478,,,,,,47.104454,51.944258,https://2gis.com/firm/70000001035700314,branch
Султан,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни; Торгово-выставочное оборудование; Офисная мебель; Детская мебель; Мебельные магазины,"проспект Азаттык, 46",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-14:00",+05:00,,,87785896656,,,,,,,https://instagram.com/mebel_sultan06,,,https://wa.me/77785896656,,,,,,47.096987,51.92357,https://2gis.com/firm/70000001034779918,branch
Knyazevich design studio,,Мебель на заказ; Дизайн интерьеров; Мебель для кухни; Корпусная мебель,"улица Академика Жарбосынова, 89а",204 офис; 2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-17:00,+05:00,4.9,1,87758855031,,,,,,,https://instagram.com/knyazevichdesign.art,,,https://wa.me/77758855031,,,,,,47.109761,51.898327,https://2gis.com/firm/70000001083844718,branch
Мария,студия по изготовлению мебели,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Мебельные магазины; Корпусная мебель; Мягкая мебель; Офисная мебель; Детская мебель; Дизайн интерьеров; Бытовая техника,"проспект Каныша Сатпаева, 43а",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87027868769,87016916666,,pugachev.marya@gmail.com,marya.atyrau@gmail.com,,,https://instagram.com/kuhni_marya_atyrau,,,https://wa.me/77027868769,,,,,,47.10574,51.883514,https://2gis.com/firm/70000001090620620,branch
Weltew Home,мебельный салон,Мебель на заказ; Мебель для кухни; Мебельные магазины; Детская мебель; Корпусная мебель,"трасса Атырау-Доссор, 46",,,Береке м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87789759191,,,,,,,https://instagram.com/weltewhome_atyrau,,,https://wa.me/77789759191,,,,,,47.143616,51.959551,https://2gis.com/firm/70000001068113509,branch
МТЕХ,компания по мебельным технологиям,Мебель на заказ; Мебельная фурнитура; Корпусная мебель,"улица Отешкали Атамбаев, 35",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,4.0,3,87016113536,,,,,,,https://instagram.com/mebelnyetekhnologi,,,https://wa.me/77016113536,,,,,,47.085755,51.930352,https://2gis.com/firm/70000001035507832,branch
Zolla-Home,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Азаттык, 181а",,,Толкын м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.3,6,87760523059,,,,,,,https://instagram.com/mebel_zolla_home,,,https://wa.me/77760523059,,,,,,47.082425,51.894549,https://2gis.com/firm/70000001043790453,branch
Атырауское учебно-производственное предприятие Казахского Общества Слепых,,Мебель на заказ; Общественные организации; Домашний текстиль; Офисная мебель,"микрорайон Авангард-4, 89",,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87122211015,87763520464,,,,,,,,,https://wa.me/77763520464,https://wa.me/77001011963,,,,,47.098515,51.890036,https://2gis.com/firm/70000001034920024,branch
Престиж,компания по изготовлению мебели,Мебель на заказ; Детская мебель; Мебель для кухни; Офисная мебель; Копировальные услуги,"проспект Азаттык, 95",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-15:00",+05:00,3.0,2,87777965937,87122251310,87757874648,,,,,https://instagram.com/prestige.atyrau,,,https://wa.me/77757874648,https://wa.me/77782497024,,,,,47.09269,51.919629,https://2gis.com/firm/70000001034942857,branch
Бек Мебель,компания по изготовлению мебели на заказ,Мебель на заказ; Корпусная мебель; Дизайн интерьеров; Мебель для ванных комнат; Мебель для кухни; Офисная мебель; Детская мебель,"2-я улица, 39а",,,СМП-163 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,1.0,1,87015621138,,,,,,,,,,https://wa.me/77015621138,,,,,,47.119838,51.970028,https://2gis.com/firm/70000001064974023,branch
Comfortmebel.atyrau,,Мебель на заказ; Мебель для кухни,"Георгия Канцева улица, 1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,5.0,1,87752648414 (директор ),,,,,,,https://instagram.com/comfortmebel.atyrau,,,https://wa.me/77752648414,,,,,,47.107174,51.934927,https://2gis.com/firm/70000001094530195,branch
Elite Decor,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Стекло / Зеркала,"улица Сырым Датова, 148",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,,,87012964888,,,,,,,https://instagram.com/elite_decor_atyrau,,,https://wa.me/77012964888,,,,,,47.112042,51.958328,https://2gis.com/firm/70000001066131242,branch
Doreko Mebel,,Мебель на заказ; Корпусная мебель,,,,Томарлы с.,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,87013307050,,,,,,,https://instagram.com/doreko_mebel_atyrau,,,https://wa.me/77013307050,,,,,,47.155982,51.955478,https://2gis.com/firm/70000001097371770,branch
Карт Бланш,мебельный салон,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель; Мебельные магазины,"улица Сырым Датова, 11",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 11:00-13:00, 14:00-18:00",+05:00,,,87122320011,87122324193,87122321727,,,,,https://instagram.com/kart.blansh,,,https://wa.me/77057910573,,,,,,47.096613,51.92764,https://2gis.com/firm/70000001035653301,branch
Taneerkhan,организация по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Мебельные фасады; Детская мебель; Матрасы; Мягкая мебель; Офисная мебель,"улица Туран, 21",37 кабинет; 3 этаж,,Сарыкамыс м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,1,87789308454,87780806077,,,,,,https://instagram.com/taneerkhan.furniture,,,https://wa.me/77789308454,https://wa.me/77780806077,,,,,47.091585,51.864976,https://2gis.com/firm/70000001036219146,branch
